District	Democratic Party Democrat	Republican Party Republican	Other
103	Rochelle Rivas: 16,922	William Brawley: 21,702 (I) Approved	
104	Peter Noris: 19,952	Andy Dulin: 24,700  Approved	
105	Connie Green-Johnson: 17,689	Scott Stone: 21,853 (I) Approved	
106	Carla Cunningham (I) Approved	No candidate	
107	Kelly Alexander, Jr. (I) Approved	No candidate	
108	No candidate	John Torbett (I) Approved	
109	Susan Maxon: 13,755	Dana Bumgardner: 21,687 (I) Approved	
110	No candidate	Kelly Hastings (I) Approved	
111	No candidate	Timothy K. Moore (I) Approved	
112	No candidate	David Rogers: 22,938 (I) Approved	Ben Edwards: 9,388 (Unaffiliated)
113	Maureen Mahan Copelof: 16,726	Cody Henson: 26,848  Approved	
114	Susan Fisher (I) Approved	No candidate	
115	John Ager: 25,257 (I) Approved	Frank Moretz: 20,183	
116	Brian Turner (I) Approved	No candidate	
117	No candidate	Charles McGrady (I) Approved	
118	Rhonda Cole Schandevel: 17,549	Michele Presnell: 21,754 (I) Approved	
119	Joe Sam Queen: 17,480 (I)	Mike Clampitt: 17,757  Approved	
120	Randy Hogsed: 11,282	Kevin Corbin: 29,047  Approved	
